Kod,Nama,PPD
KBA3044,Sekolah Kebangsaan Taman Ria,PPD KUALA MUDA
KBA3045,Sekolah Kebangsaan Sungai Layar,PPD KUALA MUDA
KBA3046,Sekolah Kebangsaan Kampong Pasir,PPD KUALA MUDA
KBA3047,Sekolah Kebangsaan Bandar Baru Sungai Lalang,PPD KUALA MUDA
KBA3048,Sekolah Kebangsaan Taman Seri Wang,PPD KUALA MUDA
KBA3049,Sekolah Kebangsaan Tasek Apong,PPD KUALA MUDA
KBA3050,Sekolah Kebangsaan Bakar Arang,PPD KUALA MUDA
KBA3051,Sekolah Kebangsaan Taman Intan,PPD KUALA MUDA
KBA3052,Sekolah Kebangsaan Sungai Pasir Kechil,PPD KUALA MUDA
KBA3053,Sekolah Kebangsaan Teluk Wang,PPD KUALA MUDA
KBA3054,Sekolah Kebangsaan Ambangan Heights,PPD KUALA MUDA
KBA3055,Sekolah Kebangsaan Bukit Kiara,PPD KUALA MUDA
KBA3056,Sekolah Kebangsaan Bandar Puteri Jaya,PPD KUALA MUDA
KBA3057,Sekolah Kebangsaan Bandar Laguna Merbok,PPD KUALA MUDA
KBA4001,Sekolah Kebangsaan Ayer Hitam,PPD KUBANG PASU
KBA4002,Sekolah Kebangsaan Haji Wan Yahya,PPD KUBANG PASU
KBA4003,Sekolah Kebangsaan Batu 8 Changlun,PPD KUBANG PASU
KBA4004,Sekolah Kebangsaan Dato' Syed Nahar,PPD KUBANG PASU
KBA4005,Sekolah Kebangsaan Binjal,PPD KUBANG PASU
KBA4006,Sekolah Kebangsaan Guar Napai,PPD KUBANG PASU
KBA4007,Sekolah Kebangsaan Dato' Wan Kemara,PPD KUBANG PASU
KBA4008,Sekolah Kebangsaan Gelong,PPD KUBANG PASU
KBA4009,Sekolah Kebangsaan Jitra,PPD KUBANG PASU
KBA4010,Sekolah Kebangsaan Kodiang,PPD KUBANG PASU
KBA4011,Sekolah Kebangsaan Dato' Sri Syed Ahmad,PPD KUBANG PASU
KBA4012,Sekolah Kebangsaan Hosba,PPD KUBANG PASU
KBA4013,Sekolah Kebangsaan Megat Dewa,PPD KUBANG PASU
KBA4014,Sekolah Kebangsaan Manggol Bongor,PPD KUBANG PASU
KBA4015,Sekolah Kebangsaan Matang Paku,PPD KUBANG PASU
KBA4016,Sekolah Kebangsaan Padang Perahu,PPD KUBANG PASU
KBA4017,Sekolah Kebangsaan Tunku Laksamana,PPD KUBANG PASU
KBA4018,Sekolah Kebangsaan Pida Tiga,PPD KUBANG PASU
KBA4019,Sekolah Kebangsaan Hakim Teh,PPD KUBANG PASU
KBA4020,Sekolah Kebangsaan Sanglang,PPD KUBANG PASU
KBA4021,Sekolah Kebangsaan Siputeh,PPD KUBANG PASU
KBA4022,Sekolah Kebangsaan Tok Kepak,PPD KUBANG PASU
KBA4023,Sekolah Kebangsaan Bandar Bukit Kayu Hitam,PPD KUBANG PASU
KBA4024,Sekolah Kebangsaan (Felda) Laka Selatan,PPD KUBANG PASU
KBA4025,Sekolah Kebangsaan Anak-Anak Angkatan Tentera,PPD KUBANG PASU
KBA4026,Sekolah Kebangsaan Jerlun,PPD KUBANG PASU
KBA4027,Sekolah Kebangsaan Seri Banai,PPD KUBANG PASU
KBA4028,Sekolah Kebangsaan Penghulu Hj Darus,PPD KUBANG PASU
KBA4029,Sekolah Kebangsaan Malau,PPD KUBANG PASU
KBA4030,Sekolah Kebangsaan Telok Malek,PPD KUBANG PASU
KBA4031,Sekolah Kebangsaan Kepala Batas,PPD KUBANG PASU
KBA4032,Sekolah Kebangsaan Seri Muda,PPD KUBANG PASU
KBA4033,Sekolah Kebangsaan Jitra 2,PPD KUBANG PASU
